question_code;question;answer
[KE03:044];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die zunehmende Entfernung des Nahpunktes mit zunehmendem Alter wird Altersweitsichtigkeit oder Presbyopie genannt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:113];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Der sogenannte blinde Fleck in unserem Gesichtsfeld ist uns im Alltag nicht bewusst, da der blinde Fleck außerhalb unseres Fokusbereiches liegt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:141];"
Welche der folgenden Aussagen sind richtig?
Wählen Sie eine oder mehrere Antworten:Der ventrale Informationsstrom  wird auch der Wo-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Warum-Strom genannt. 
Der ventrale Informationsstrom  wird auch der Was-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Was-Strom genannt. 
Der dorsale Informationsstrom  wird auch der Wo-Strom genannt. 
Der ventrale Informationsstrom  wird auch der Warum-Strom genannt. 
";  Der dorsale Informationsstrom  wird auch der Wo-Strom genannt., Der ventrale Informationsstrom  wird auch der Was-Strom genannt.
[KE03:087];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Umgangssprachlich wird die impulsartige Aktivität eines Neurons auch als Geistesblitz bezeichnet.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:043];"
Wie wird die geringste Entfernung zum Auge genannt, in der sich ein Objekt befinden darf, damit es noch scharf auf der Netzhaut abgebildet werden kann?
Wählen Sie eine Antwort:Fixpunkt 
Fernpunkt 
Scharfpunkt 
Glückspunkt 
Nahpunkt 
Sehpunkt 
Schiefpunkt 
";  Nahpunkt
[KE03:011];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die Stärke eines Aktionspotentials entspricht der Stärke der Erregung eines Neurons.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:054];"
Wieviel Prozent der Brechkraft entfallen auf die Linse?
Wählen Sie eine Antwort:10% 
20% 
30% 
40% 
50% 
";  20%
[KE03:070];"
Über welche Größenordnungen erstreckt sich die potentielle Länge von Axonen?
Wählen Sie eine Antwort:1µm bis 1mm 
1mm bis 1m 
1m bis 10m 
1µm bis 10m 
";  1mm bis 1m
[KE03:136];"
Welche der folgenden Aussagen sind richtig?
Wählen Sie eine oder mehrere Antworten:Da die temporalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
Da die nasalen Sehnervenfasern im CGL die Gehirnseite wechseln, werden Objekte, die sich rechts in unserem Gesichtsfeld befinden, in der linken Gehirnhälfte verarbeitet. 
Da die temporalen Sehnervenfasern im CGL die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet. 
";  Da die nasalen Sehnervenfasern im Chiasma Opticum die Gehirnseite wechseln, werden Objekte, die sich links in unserem Gesichtsfeld befinden, in der rechten Gehirnhälfte verarbeitet.
[KE03:081];"
Welche der folgenden Eigenschaften neuronaler Netze finden Anwendung bei künstlichen Neuronalen Netzen?
Wählen Sie eine oder mehrere Antworten:Die Inhibition 
Die Regeneration 
Die räumliche Wellenpropagation 
Die Signaltransferrate 
Die Signaltransfergeschwindigkeit 
Die Prohibition 
Die räumliche Informationsorganisation 
Die Konvergenz 
";  Die Konvergenz, Die Inhibition, Die räumliche Informationsorganisation
[KE03:076];"
In welchem Verhältnis steht die Anzahl der Ganglienzellen in etwa zur Anzahl der Rezeptoren?
Wählen Sie eine Antwort:1:1 
1:10 
1:100 
1:1000 
1:10000 
";  1
[KE03:003];"
Was verbirgt sich hinter der Abkürzung SOM?
Wählen Sie eine Antwort:synaptisch organische Mutationen 
systematisch orientierte Karten 
selbstorganisierende Karten 
steuernde oszillierende Membrane 
";  selbstorganisierende Karten
[KE03:069];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Synapsen sind die Kontaktstellen zwischen Neuronen und somit keine Bestandteile eines Neurons im eigentlichen Sinne.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
